,Вопрос,Ответ 1,Ответ 2,Ответ 3,Ответ 4
1484,В какой стране название жандармерии дал один из видов огнестрельного оружия?,Италия,Франция,Чехия,Португалия
1485,Флаг какой страны не красно-бело-голубой?,Израиль,Куба,Либерия,Франция
1486,Кто из перечисленных поэтов окончил Академию художеств в Санкт-Петербурге?,Тарас Шевченко,Николай Некрасов,Фёдор Тютчев,Михаил Лермонтов
1487,На какой из этих лодок издревле плавали ирландцы?,куррах,умиак,гондола,каноэ
1488,Кто из этих людей был известным астрономом?,Тихо Браге,Арнольд Тойнби,Бернард Маламуд,Иоганн Гильдебрандт
1489,Какого цвета были глаза у Эраста Петровича Фандорина?,голубые,карие,зелёные,серые
1490,Что такое или кто такой ТУВАЛУ?,Государство,Бог плодородия у инков,Ядовитое растение,Индейское племя
1491,"Какой головной убор был сшит не должным образом, что и послужило темой для скороговорки?",Колпак,Котелок,Цилиндр,Картуз
1492,Какой из этих футбольных клубов - голландский?,"""Фейеноорд""","""Андерлехт""","""Реал""","""Атлетико"""
1493,"Кто из этих актрис не снимался в к/ф ""Отпуск за свой счёт""?",Любовь Соколова,Эржибет Пастор,Лия Ахеджакова,Людмила Гурченко
1494,Постановщиком какого из этих фильмов был не Сергей Эйзенштейн?,"""Земля""","""Броненосец Потемкин""","""Стачка""","""Александр Невский"""
1495,Какой из этих балетов написал не Родион Щедрин?,"""Анюта""","""Конек-Горбунок""","""Чайка""","""Дама с собачкой"""
1496,Кто из этих советских физиков получил нобелевскую премию позже остальных?,Ландау,Франк,Черенков,Тамм
1497,"Какой из этих поэтов имеет в своём архиве стихотворение, не содержащее ни одного глагола?",А.А.Фет,В.И.Брюсов,А.А.Блок,С.А.Есенин
1498,Какое из этих озер по площади самое маленькое?,Ильмень,Онежское,Ладожское,Байкал
1499,Какая из этих ярких звезд - альфа Девы?,Спика,Вега,Альтаир,Денеб
1500,"Какой из этих замечательных фильмов был удостоен не ""Оскара"", а другой высокой награды?","""Летят журавли""","""Утомленные солнцем""","""Москва слезам не верит""","""Война и мир"""
1501,Какое из этих учебных заведений не находится в Великобритании?,Сорбонна,Оксфорд,Кембридж,Итон
1502,"Кто из этих художников написал знаменитые ""Ирисы""?",Ван Гог,Матисс,Ренуар,Гоген
1503,Что из этого является сортом сельди?,Залом,Надлом,Разлом,Облом
1504,Какая из этих рек не относится к сибирским?,Печора,Лена,Енисей,Обь
1505,"Кто из этих людей основал автомобильную компанию ""Форд моторс""?",Генри Форд,Джон Форд,Джеральд Форд,Харрисон Форд
1506,Какой из этих знаменитых алмазов был найден в Южной Африке в 1978 году?,"""Первая роза""","""Река Уойе""","""Светоч мира""","""Регент"""
1507,"""Какое из этиx слов не является антонимом оригинальности?""",Лекало,Шаблон,Трафарет,Клише
1508,Какой из этих мультфильмов не снимала студия Уолта Диснея?,"""Вуди Вудпекер""","""Фантазия""","""Бэмби""","""Винни-Пух"""
1509,"Что получается при добавлении в смесь белого вина, коньяка и шампанского свежих фруктов и сахара?",Крюшон,Глинтвейн,Пунш,Щербет
1510,Какой из этих женских голосов самый высокий?,Сопрано,Меццо-сопрано,Альт,Контральто
1511,Денежной еденицей какой страны не является доллар?,Бенин,Сингапур,Барбадос,Багамы
1512,Какую из этих птиц нельзя научить имитации человеческого голоса?,Соловей,Ворона,Сорока,Скворец
1513,Кого использует апитерапевт для лечения людей?,Пчел,Змей,Пиявок,Пауков
1514,Какой из полководцев командовал фронтами в течение наиболее длительного срока?,Конев,Ерёменко,Говоров,Рокоссовский
1515,Как называется одно из стихотворений В.Маяковского?,"""Левый марш""","""Правая кадриль""","""Прямой вальс""","""Косая лезгинка"""
1516,Как называется комнатный цветок?,декабрист,октябрист,коммунист,анархист
1517,Кто из этих диктаторов правил по времени меньше остальных?,Франсуа Дювалье,Салазар,Франко,Сталин
1518,Как называется один из мостов Венеции?,Мост Вздохов,Мост Улыбок,Мост Плача,Мост Смеха
1519,На флаге какого из этих государств присутствует красный цвет?,Белиз,Мавритания,Габон,Ботсвана
1520,Сколько лет старшему брату Уизли ? Если рону было 12.....,22,19,20,21
1521,На гербе какого государства нет изображения лошади?,Австралии,Венесуэлы,Литвы,Монголии
1522,Какая из этих стран никогда не использовала в государственном гимне тему гимна Великобритании?,Португалия,Швейцария,Дания,Россия
1523,Какой из этих инструментов по принципу извлечения звука является щипковым?,Клавесин,Пианино,Клавикорд,Рояль
1524,Какой из этих грибов ядовитый?,говорушка восковатая,груздь болотный,моховик зелёный,рядовка серая
1525,Какой из этих городов не является столицей своей страны?,Касабланка,Манила,Исламабад,Вьентьян
1526,Какой из этих городов расположен на реке Иртыш?,Омск,Новосибирск,Иркутск,Красноярск
1527,Что было создано в результате пожара в Венской опере?,скорая помощь,пожарные автомобили,банк донорской крови,профсоюзы оперных певцов
1528,В каком из этих фильмов играл Р. Быков?,Служили два товарища,Два капитана,Два бойца,Три плюс два
1529,Что из этого не является частью рангоута судна?,Такелаж,Мачта,Гафель,Бушприт
1530,В каком периоде динозавры не жили?,Девон,Юра,Триас,Мел
1531,Кто из этих ученых дважды был лауреатом Нобелевской премии?,Лайнус Полинг,Альберт Эйнштейн,Макс Планк,Нильс Бор
1532,Какой фильм не связан сюжетом со Всемирным фестивалем молодёжи и студентов 1957 года в Москве?,«Весна в Москве»,«Матрос с „Кометы“»,«Девушка с гитарой»,«Цепная реакция»
1533,Какой из этих металлов обладает наибольшей плотностью?,платина,золото,свинец,серебро
1534,Что из перечисленного называется настоящим орехом в ботанике?,Фундук,Кедровый орех,Кокос,Арахис
1535,Что из перечисленного не входит в тройное единство предписанное драматургам классицизмом?,Замысла,Времени,Действия,Места
1536,Что из перечисленного не является заморским департаментом Франции?,Вануату,Гвиана,Гваделупа,Мартиника
1537,"Какая птица, как считается, дала название меткому стрелку снайперу?",бекас,вальдшнеп,перепел,кулик
1538,В каком году Евровидение проходило в Москве?,2009,2008,2010,2013
1539,Какая из этих рек не протекает по территории Белоруссии?,Дон,Западная Двина,Неман,Днепр
1540,В каком азиатском государстве нет постоянных рек?,Саудовская Аравия,Ирак,Сирия,Иран
1541,"""Кто из этих актеров сыграл в кино Гамлета?""",Смоктуновский,Золотухин,Высоцкий,Безруков
1542,Какое из этих названий российских генеральских чинов не употреблялось после 1796 г.?,Генерал-аншеф,Генерал от инфантерии,Генерал от кавалерии,Инженер-генерал
1543,Какое насекомое начинает свою жизнь не как гусеница?,Стрекоза,Бабочка,Мотылек,Моль
1544,Какое из этих животных не способно двигать глазами?,Сова,Шимпанзе,Кролик,Крокодил
1545,В каком городе России пока нет метро?,Пермь,Нижний Новгород,Казань,Самара
1546,Какая из этих религий зародилась раньше остальных трех?,Буддизм,Христианство,Ислам,Сикхизм
1547,Какая из этих социалистических стран не производила собственных легковых автомобилей?,Венгрия,Чехословакия,Румыния,Польша
1548,"Какой из этих полнометражных мультфильмов создан в США, а не у нас?","""Золушка""","""Приключения Буратино""","""Аленький цветочек""","""Конек-Горбунок"""
1549,Племянник какого из этих писателей был выдающимся актером?,А. П. Чехов,В. В. Набоков,А. И. Куприн,Л. Н. Андреев
1550,Кто из этих древних правителей был польским королем?,Стефан Баторий,Стефан I,Стефан Первовенчанный,Стефан III Великий
1551,Какое из этих слов написано здесь неправильно?,Корелляция,Аппликация,Апелляция,Аккредитация
1552,Кто из этих кошачьих имеет не втягивающиеся когти?,Гепард,Рысь,Лев,Оцелот
1553,"Как известно, харит (граций) было три. Кто тут четвертый ""лишний""?",Клио,Талия,Евфросина,Аглая
1554,Какой из этих городов не является прибрежным Каспийскому морю?,Адлер,Махачкала,Баку,Астрахань
1555,Какое из этих слов не является названием промысловой рыбы?,Сарсуэла,Макрорус,Пристипома,Бельдюга
1556,"Название какого блюда само говорит знатоку иностранных языков, что оно приготовлено из многих элементов?",компот,паэлья,пицца,винегрет
1557,Какое из этих государств - не королевство?,Исландия,Норвегия,Швеция,Дания
1558,Кто из этих великих ученых родился раньше остальных?,Декарт,Левенгук,Ньютон,Лейбниц
1559,Какой из этих витаминов по-другому называется РЕТИНОЛ?,А,В2,Е,В12
1560,Какой из этих танцев - не польского происхождения?,Полька,Краковяк,Мазурка,Полонез
1561,Как по-другому называется электрическая дуга?,Вольтова,Кулонова,Гальванова,Амперова
1562,Какая из этих букв всегда обозначает твердый звук?,ц,ч,щ,й
1563,"На сцену какого театра Михаил Ефремов вышел еще мальчиком в спектакле «Уходя, оглянись»?",МХАТ,«Современник»,Ленком,«Сатирикон»
1564,"Какой богине принадлежала керинейская лань, которую изловил Геракл?",Артемиде,Афродите,Афине,Гере
1565,Какая буква русского алфавита обозначается в шрифте Брайля одной выпуклой точкой?,А,Е,И,Я
1566,"Во что заяц играл с белками в новогодней сказке Маршака ""Двенадцать месяцев""?",Горелки,Жмурки,Догонялки,Прятки
1567,Что такое «рыбацкий штык»?,морской узел,острога,весло,якорь
1568,Шахматист с какой фамилией в 1963 году стал чемпионом мира?,Петросян,Степаненко,Задорнов,Жванецкий
1569,Какой европейский народ не относится к ретороманцам?,Фризы,Фриулы,Ладины,Романши
1570,Что такое гуммиарабик?,Клей,Лак,Пряность,Краситель
1571,"Кто из этих классиков - автор романа ""Подросток""?",Ф. М. Достоевский,И. А. Бунин,Л. Н. Толстой,И. С. Тургенев
1572,Какой из этих городов - столица Нигерии:,Абуджа,Аккра,Найроби,Дакар
1573,Какой из этих балетов не оформлял Пабло Пикассо?,''Агон'',"""Меркурий''",''Икар'',''Треуголка''
1574,Какую из этих пьес написал А. В. Сухово-Кобылин?,"""Дело""","""Доходное место""","""Власть тьмы""","""Горячее сердце"""
1575,"Какое из этих слов писалось и до реформы русского языка через Е, а не через ЯТЬ?",Пест,Хрен,Лес,Бес
1576,В какой из этих стран официальный язык - французский?,Гаити,Гайана,Доминиканская Республика,Доминика
1577,Где устанавливают спинакер?,на парусной яхте,на метеорологической станции,в ветеринарной клинике,в угольной шахте
1578,У какого футбольного клуба НЕ фиолетовые цвета команды?,Тоттенхэм Хотспур,Фиорентина,Тулуза,Реал Вальядолид
1579,Какой из перечисленных витаминов содержится в рыбьем жире?,A,В,С,Д
1580,Какие из этих вен относятся к венам мышечного типа?,Плечевая вена,Вены глаз,Вены селезенки,Вены мозговых оболочек
1581,Какой из этих городов не является портом Балтийского моря?,Вильнюс,Санкт-Петербург,Таллин,Лиепая
1582,"Кто выиграл ""турнирный"" чемпионат мира по шахматам ФИДЕ в 2000г.?",В. Ананд,А. Грищук,А. Широв,М. Адамс
1583,"В арсенале какого специалиста есть и сокол, и полутёрок?",штукатур,ювелир,фрезеровщик,каменотёс
1584,В каком месяце происходит действие балета Чайковского «Щелкунчик»?,декабрь,январь,март,апрель
1585,"Какая из перечисленных опер, написанных по произведениям Пушкина не принадлежит Чайковскому?","""Борис Годунов""","""Мазепа""","""Пиковая дама""","""Евгений Онегин"""
1586,"Что произносит игрок в преферанс, отказываясь от участия в розыгрыше?",Пас,Судью на мыло,Офсайд,Аут
1587,Сколько минут в сутках?,1440,1200,2400,3600
1588,От какого слова происходит имя Ева?,Живая,Солнечная,Первая,Красивая
1589,Гривенник это,10 коп,5 коп,20 коп,50 коп
1590,Какой из этих судов не является промысловым рыболовным?,Тендер,Траулер,Дрифтер,Сейнер
1591,На территорию какого из этих государств пустыня Кызылкум не заходит?,Афганистан,Туркмения,Узбекистан,Казахстан
1592,Какой российский император заслужил прозвище Палкин?,Николай I,Павел I,Александр I,Николай II
1593,"От чего в 1890 году законодательно отказалась Юта, чтобы стать полноправным штатом США?",Многожёнство,Употребление алкоголя,Суд Линча,Рабовладение
1594,В каком жанре Людвиг ван Бетховен написал «Творения Прометея»,балет,симфония,опера,соната
1595,Чему равен корень четвёртой степени из 625?,5,15,25,35
1596,Какое из этих больших озёр находится в Европе?,Балатон,Байкал,Гурон,Виктория
1597,На какой реке стоит город Обнинск?,Протва,Нара,Угра,Ока
1598,Назовите столицу Суринама.,Парамарибо,Ханой,Мадрас,Улан-Батор
1599,"Какую меру жидкости на Руси называли ""кружка""?",Штоф,Чарка,Бутылка,Шкалик
1600,"Спутником какой планеты является Титан, превосходящий по размерам планету Меркурий?",Сатурна,Юпитера,Марса,Нептуна
1601,Какую спортивную игру начинают не с подачи?,Баскетбол,Бадминтон,Волейбол,Теннис
1602,"""В состав какого сплава не входит медь?""",мегапир,латунь,мельхиор,бронза
1603,"Какой из этих городов не является центром одного из федеральных округов, созданных указом В. В. Путина?",Красноярск,Нижний Новгород,Хабаровск,Ростов-на-Дону
1604,Какое из этих животных накапливает к зиме жир в хвосте?,Бобер,Сурок,Суслик,Хомяк
1605,"От кого Нильс спас гуся, завоевав доверие диких гусей в сказке С.Лагерлёф?",От лисы,От куницы,От ястреба,От змеи
1606,Что из перечисленного Россия не экспортирует?,Горячая вода,Электричество,Газ,Нефть
1607,Что означает футбольный термин ''аут''?,Мяч вне поля,Штрафной удар,Конец тайма,Замена игрока
1608,"Какая птица, согласно поговорке, не позволяет учить себя яйцам?",Курица,Кукушка,Утка,Гусь
1609,Где расположена штаб-квартира Совета Европы?,Страсбург,Гаага,Брюссель,Париж
1610,Какой из этих подмосковных городов - самый крупный по населению?,Мытищи,Дмитров,Красногорск,Одинцово
1611,В каком архитектурном стиле построено здание Большого театра в Москве?,Классицизм,Барокко,Модерн,Готика
1612,Какая башня Московского Кремля располагается между Царской и Сенатской?,Спасская,Оружейная,Боровицкая,Троицкая
1613,Какая из этих рек - самая короткая?,Днестр,Дон,Дунай,Днепр
1614,"Что такое ""киноа""?",Зерновая культура,Животное,Поселение,Лодка
1615,"Чем на Руси становились вершки, если их набиралось шестнадцать?",Аршин,Пядь,Сажень,Пуд
1616,Назовите крупнейшее озеро Африки?,Виктория,Ньяса,Танганьика,Чад
1617,Разновидностью какого прибора является анероид?,барометр,тахометр,термометр,спектрометр
1618,Как написать правильно?,Потчевала яствами,Потчевала явствами,Подчивала явствами,Потчивала яствами
1619,Какой из этих полнометражных американских мультфильмов создан не на студии Диснея?,"""Анастасия""","""Покахонтас""","""Король Лев""","""Пиноккио"""
1620,Собака какой породы участвует в торжественных церемониях перед Букингемским дворцом?,ирландский волкодав,шотландская овчарка,английский бульдог,немецкая овчарка
1621,Какой город является столицей Северной Ирландии?,Белфаст,Эдинбург,Лондон,Дублин
1622,"У лошадей какой масти из этих четырёх хвост и грива светлые, а не чёрные?",Игреневый,Саврасый,Гнедой,Буланый
1623,"Соцветие какого растения ботаники не назовут ""кистью""?",Рябина,Черёмуха,Вишни,Смородины
1624,Какая из этих кошек является длинношёрстной?,Персидская,Сиамская,Британская,Ангорская
1625,"Какое из этих имён произошло от греческого слова ""девственный""?",Парфён,Пётр,Пантелеймон,Парамон
1626,Какая вена входит в правое предсердие?,Верхняя полая,Средняя полая,Легочная,Яремная
1627,Какая из этих марок пива - ирландская?,"""Гиннесс""","""Туборг""","""Хольстен""","""Миллер"""
1628,Название какого из этих видов сооружений произошло от одного из семи чудес света?,Мавзолей,Виадук,Акведук,Обелиск
1629,"Как называется застежка-украшение на ожерелье, альбоме и др.?",Фермуар,Аграф,Агреман,Панагия
1630,Какой из этих романов написал не Ги де Мопассан?,"""Дамское счастье""","""Милый друг""","""Жизнь""","""Пьер и Жан"""
1631,К какому фильму не писал музыку Эннио Морриконе?,«Большой Лебовски»,«Бесславные ублюдки»,«Профессионал»,«Красная палатка»
1632,Какое из этих названий не является синонимом трех остальных?,Ягуар,Пантера,Леопард,Барс
1633,Что не предназначено для нанесения линий?,рейсинг,рейсфедер,рейсшина,рейсмус
1634,У какого дерева листья осенью зелёные?,Ольха,Бук,Каштан,Ива
1635,Какой предмет мебели не упоминается в пароле для связи в фильме «Подвиг разведчика»?,табурет,тумбочка,шкаф,кровать
1636,Какое прозвище в народе получила простейшая магнитола?,«балалайка»,«арфа»,«гитара»,«скрипка»
1637,Что используют в работе воздушные гимнасты?,трапецию,квадрат,овал,треугольник
1638,На марках какой страны название страны отсутствует?,Англия,Исландия,Швеция,Япония
1639,На какой формат изображения перешёл с 1 июня 2011 года Первый канал российского телевидения?,16:9,9:12,8:7,4:3
1640,На какой остров был построен мост из Владивостока в рамках программы подготовки города к проведению саммита АТЭС?,О. Русский,О. Рейнеке,О. Витязь,О. Попова
1641,Какой из этих создающих изображение приборов не подразделяется на черно-белые и цветные?,Фотоаппарат,Ксерокс,Телевизор,Принтер
1642,Столица какой африканской страны еще не так давно называлась Лагос?,Нигерия,Сенегал,Уганда,Кения
1643,Кто упомянут в песне «Тачанка»?,лётчики,кавалеристы,моряки,артиллеристы
1644,Какого персонажа нет в пьесе Метерлинка «Синяя птица»?,Масло,Хлеб,Молоко,Сахар
1645,"Как называется повторяющаяся часть (мотив) рисунка (узора) на ткани, обоях и пр.?",Раппорт,Арабеска,Репетир,Жаккард
1646,"Какой из этих российских орденов был ""младше"" остальных?","""Станислав 2-й степени""","""Анна 2-й степени""","""Владимир 4-й степени""","""Белый Орел"""
1647,Какой из этих спортивных снарядов самый лёгкий?,Копьё,Молот,Ядро,Диск
1648,Какой элемент является наиболее химически активным?,фтор,натрий,фосфор,кислород
1649,Какие ткани относятся к соединительным?,Костные,Мышечные,Нервные,Эпителиальные
1650,Сколько человек в струнном квартете?,4,3,5,2
1651,Где в теле человека расположена плюсна?,Стопа,Локоть,Запястье,Колено
1652,В каком полушалочке стоит на полустаночке героиня популярной когда-то песни на стихи М. Анчарова?,В цветастом,В пушистом,В дешевом,В красивом
1653,Последний танец какого из этих хореографов завершился в возрасте 96 лет?,Марта Грэм,Руф Денис,Джордж Баланчин,Агнес де Милль
1654,Чьим слугой был Базен?,Арамиса,д’Артаньяна,Портоса,Атоса
1655,"Как заканчивается расхожее выражение ""Враг моего врага...""?",Мой друг,Мой враг,Мой брат,Мой язык
1656,Какое понятие никак не связано с числом 3?,триггер,триумвират,трирема,трельяж
1657,Как говорят о пустячной задаче?,плёвое дело,клёвое дело,слёзное дело,кровавое дело
1658,На каком национальном инструменте хорошо играл Джордж Харрисон?,ситар,кантеле,дутар,сямисэн
1659,Как с греческого языка переводится слово «демагог»?,вождь народа,враг народа,друг народа,брат народа
1660,"Что, согласно договору Эйфеля с парижскими властями, должно было произойти с башней его конструкции в 1909 году?",разбор на металлолом,перевоз в другое место,ремонт,покраска
1661,Как по-другому называют глюкозу?,виноградный сахар,персиковый сахар,гранатовый сахар,вишнёвый сахар
1662,Какая из карточных мастей считается самой старшей при игре в бридж?,пики,червы,трефы,бубны
1663,В какой из этих стран нет шерифов?,Испания,Великобритания,Индия,Ирландия
1664,"Кто написал ""Неаполитанскую песенку""?",Чайковский,Вивальди,Бетховен,Шопен
1665,Какая планета была открыта в 1846 году благодаря постоянному отклонению Урана от рассчитанной учёными орбиты?,Нептун,Меркурий,Плутон,Юпитер
1666,Какое название можно найти на карте Марса?,Твин Пикс,Санта-Барбара,Малибу,Изаура
1667,Кому или чему Эдгар Аллан По посвятил сонет с названием «Моей матери»?,тёще,Америке,бабушке,мачехе
1668,"Ветку какого дерева можно увидеть на 10-рублёвых монетах Банка России, посвященных городам?",дуб,клён,берёза,ольха
1669,Как называется одна из разновидностей тыквы?,горлянка,ушанка,ноздрянка,губянка
1670,Как называется разновидность преферанса с двумя игроками?,гусарик,кирасирчик,драгунчик,уланчик
1671,Что начертал на поверхности Луны командир «Аполлона-17» Юджин Сернан?,инициалы дочери,формулу скорости света,слова гимна США,имя президента Никсона
1672,Где хранится уникальный золотой самородок «Мефистофель»?,Алмазный фонд,Эрмитаж,Оружейная палата,Гохран
1673,Кто из этих деятелей искусства стал директором первого профессионального публичного театра России,Александр Сумароков,Василий Каральгин,Павел Молчанов,Яков Княжнин
1674,"Какое из этих названий относится к животному, не подвергнутому определенной хирургической операции?",Хряк,Каплун,Мерин,Валух
1675,Как называется денежная единица Грузии?,Лари,Седи,Драм,Манат
1676,Какое «звание» было у медведя Топтыгина в стихотворении Николая Алексеевича Некрасова?,генерал,маршал,полковник,майор
1677,В какую страну конструктор Игорь Сикорский эмигрировал в 1919 году?,В США,В Японию,Во Францию,В Финляндию
1678,"Какая книга У. Теккерея в первом русском издании называлась ""Базар житейской суеты""?","""Ярмарка тщеславия""","""Книга снобов""","""Роковые сапоги""","""Роковые сапоги"""
1679,Какая столица расположена ближе к экватору?,Вашингтон,Ташкент,Варшава,Киев
1680,Какое слово произошло от греческого «подражательный»?,Мимика,Пародия,Стилизация,Копия
1681,Что выросло у всех российских студентов 1 апреля 2005 года?,Стипендия,IQ,Количество предметов,Срок обучения
1682,"В 1700 г. во Франции правил Людовик XIV, в России - Петр I, в Швеции - Карл XII. А кто в это время был английским королем?",Вильгельм III Оранский,Карл II,Яков II,Мария II Стюарт
1683,Сколько детей было у Анны Карениной?,2,3,4,1
1684,Самая яркая звезда какого созвездия называется Альтаир?,Орёл,Лира,Дева,Лебедь
1685,В честь павших воинов какой войны был возведен Храм Христа Спасителя?,Война с Наполеоном,Русско-Японской,Русско-Турецкой,Русско-Шведской
1686,Какое из этих начинаний в области отечественной продовольственной политики было первым?,Продразвёрстка,Продналог,Продпрограмма,Продкорзина
1687,Как называется узкая нераспаханная полоса между полями?,Межа,Междурядье,Целина,Борозда
1688,Какая кремлёвская башня появляется на экранах телевизоров в новогоднюю ночь?,Спасская,Кутафья,Никольская,Никольская
1689,Какая наука изучает ископаемых животных?,Палеонтология,Палеоэнтомология,Арахнология,Археология
1690,На каком острове Поль Гоген провёл не один год своей жизни?,Таити,Гавайи,Фиджи,Крит
1691,Какое из этих африканских государств раньше называлось Верхняя Вольта?,Буркина Фасо,Бенин,Кот-д'Ивуар,Кабо Верде
1692,"Как назывался первый в социалистической Польше независимый профсоюз, во главе которого стоял будущий президент Лех Валенса?","""Солидарность''",''Сопротивление'',"""Единение''",''Свободная Польша''
1693,"В каком штате США находится Солнечная долина, прославленная оркестром Гленна Миллера?",Айдахо,Индиана,Айова,Мичиган
1694,Какая рок-группа названа в честь дихлордифенилтрихлорметилметана?,ДДТ,Коррозия металла,AC/DC,Металлика
1695,"Как назывался каменный монолит, на котором установлен памятник Петру I в Санкт-Петербурге?",Гром-камень,Дом-камень,Гора-камень,Разрыв-камень
1696,Какая звезда в Большой Медведице составляет с Мицаром двойную звезду?,Алькор,Адара,Ригель,Акрукс
1697,"Как в международном праве называются лица, входящие в состав вооруженных сил и непосредственно участвующие в военных действиях?",Комбатанты,Коллаборационисты,Коммандисты,Герусии
1698,Кого из этих писателей звали Владимир Владимирович?,Набоков,Даль,Тургенев,Гончаров
1699,В какой стране река Рейн впадает в Северное море?,в Нидерландах,во Франции,в Германии,в Швейцарии
1700,Из какого мяса испанцы делают знаменитый на весь мир деликатес хамон?,из свинины,из говядины,из баранины,из оленины
1701,Кого или что можно было обнаружить в деннике каждого гусара?,коня,саблю,шампанское,табак
1702,Какой металл является основой любой амальгамы?,Ртуть,Золото,Сурьма,Алюминий
1703,Кто из этих президентов США не был лауреатом Нобелевской премии мира?,Джеральд Форд,Джеймс Картер,Теодор Рузвельт,Вудро Вильсон
1704,Какая из этих российских антарктических станций находится ближе всего к Южному полюсу?,"""Восток""","""Молодежная""","""Мирный""","""Прогресс"""
1705,Как называется приспособление для чистки пушек?,банник,банщик,бантик,битник
1706,Согласно какой шкале температур вода закипает про 80 градусах?,Реомюра,Фаренгейта,Кельвина,Цельсия
1707,Что случилось с кабинетным роялем Дмитрия Шостаковича?,был проигран в карты,был съеден крысами,упал с грузовика,сгорел при пожаре
1708,Кто по мнению И.Бродского создал пенальти и угловой?,Хаммурапи,Исполком ФИФА,Бог,Арбитр
1709,"Сколько раз надо сложить лист бумаги пополам, чтобы получить 1/8 его часть?",3,4,6,8
1710,"Какой бытовой прибор используют хозяйки в Гонолулу, для того чтобы сделать мясо осьминога более нежным?",Стиральная машина,Пылесос,Фен,Утюг
1711,"По какому признаку, согласно латинской пословице, узнают льва?",по когтям,по голосу,по зубам,по гриве
1712,"Что, согласно правилам правописания, делают со словом, если оно не умещается в одной строке?",переносят,ужимают,разгружают,обрезают
1713,"Что однажды во время прогулки сделал император Франц-Иосиф, положив начало нововведению в моде?",закатал брюки,снял шляпу,оторвал рукава куртки,сломал каблук
1714,Какой масти конь Алёши Поповича на картине Васнецова,рыжей,вороной,белой,саврасой
1715,В какой стране в 1947 году режиссёр Григорий Александров снимал фильм «Весна»?,в Чехословакии,в ГДР,в Болгарии,в Польше
1716,Какое дерево существует?,Конфетное,Зефирное,Карамельное,Медовое
1717,Сочетание каких двух карт называется марьяжем?,король и дама,туз и король,валет и дама,король и валет
1718,Что такое или кто такой автожир?,винтовой летательный аппарат,разновидность паука,смазка для двигателя,курдючный баран
1719,Какой из этих вулканов считается потухшим?,Карадаг,Этна,Везувий,Ключевская сопка
1720,"В какой части света появилось самое молодое на сегодняшний день государство, признанное ООН?",Африка,Европа,Азия,Австралия и Океания
1721,Какое уменьшительно-ласкательное женское имя не упомянуто в песенке из фильма «Соломенная шляпка»?,Бабетта,Колетта,Лоретта,Мариетта
1722,Какая пряная трава входит в основу традиционного итальянского соуса песто?,базилик,руккола,укроп,орегано
1723,Кого или что писатель Кассиодор назвал другим народом Древнего Рима?,статуи,фонтаны,варваров,рабов
1724,Какое слово отсутствовало в обращении царицы из сказки Пушкина к зеркальцу: «Я ль на свете всех ...»?,Стройнее,Милее,Белее,Румяней
